StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q6,Q6_5_TEXT,Q7,Q7_5_TEXT,Q9,Q10,Q11,Q13,Q14,Q15,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your current degree status,Are you a student at Northwestern University?,What is your current year in school?,"How often do you collaborate on classwork in school settings (inside of classrooms, for class)? - Selected Choice","How often do you collaborate on classwork in school settings (inside of classrooms, for class)? - Other (please specify): - Text","How often do you collaborate on classwork outside of school settings (work done outside of classroom, etc)? - Selected Choice","How often do you collaborate on classwork outside of school settings (work done outside of classroom, etc)? - Other (please specify): - Text",How would you describe a good collaboration?,What are some characteristics of a bad collaboration?,How do you deal with poor collaboration experiences?,What are some things you've been taught about collaboration and collaborating?,What advice would you give a high school student about how to collaborate most effectively in college?,"In your ideal world, how would you want to learn how to collaborate?","If you have any other comments on collaboration, please provide them here",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.,I understand how this information might be useful for supporting learning.,I am concerned about how I could be represented by the data.,"If you have any comments about how this data might be used, please provide them here",I find that the device invades my privacy if used during classes.,"Compared to a Google Home or Amazon Echo, this device seems more invasive or intrusive.",I'd rather not have a piece of technology actively recording me in class.,"I would prefer to have a device that offers more interactivity (i.e., answering questions, providing a visualization for the students).","If yes, what types of interactivity would improve your experience with these pods?",I would be okay with having a camera on top of the respeaker capturing video or image data.,"If you have any other comments with regards to the respeaker, please provide them here.","Would you like to proceed? If so, you will be rerouted to a different page to provide your information (this is for BOTH the $5 participation and $50 raffle prize)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID33""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID36""}"
5/4/2020 12:52,5/4/2020 13:10,0,65.79.155.148,100,1048,1,5/4/2020 13:10,R_RPNEtGyqWSTBnFv,,,,,41.9703064,-87.66400146,anonymous,EN,3,1,2,3,,2,,"It involves open communication, a work distribution that is based on others skills, and helps all members of the group advance their thinking.","Some characteristics include talking over eachother, one person doing all the work, people not doing all of the work. ","I typically either make arrangements with the professor, try discussing with group members first though, and if that doesn't work then the professor. ",I think the main thing is staying accountable to the rest of the group. Other than that much of collaboration is learned through the process. ,I would probably teach them how to use a calendar effectively so that they can allocate time towards their collaborations and not only play.,I think that a lot of it is learned out of school settings and then translated into things that can be effective for it.,,5.193,151.53,152.544,16,The device takes in directional audio to help understand collaboration. Ideally the kinds of phrases will help understand the collaboration happening in the group,3,4,What if the way I collaborate is seen as bad by the software or it flags my teachers against me.,3,2,4,1,flow of conversation or key points.,2,,1
5/4/2020 12:53,5/4/2020 13:10,0,67.175.157.69,100,1046,1,5/4/2020 13:10,R_2SiQ8F184WK86Jb,,,,,42.01069641,-87.66570282,anonymous,EN,3,1,1,3,,3,,Different skills and experiences coming together towards one goal. Flexibility and openness towards others in a group and setting reasonable expectations and goals. Communicating expectations and goals continuously and adapting them as needed. all members or parties in a group benefit—minimize shorter end of stick scenario. ,"Silencing, marginalizing ideas or not contributing to goals. Not actively listening to others and insisting on an approach or ideas. Members don’t work together to make set shared goals and expectations that benefit everyone. ",Seek clarification through communication. Tackle problems before they snowball. Check in with other people instead of assuming they’re all on board with ideas or the direction of the group work. ,It’s better when a team is diverse. Constant Communication is important to make sure everyone is on the same page about goals and expectations. ,"Attack ideas, not a person. Remember that working with others is a process of communicating and clarifying expectations and goals with one another. ",Seeing examples of good collaborating or engaging in activities that help me experience firsthand what works and doesn’t work in collaborative environments. ,,146.201,308.162,309.583,4,"Capture different elements of speakers: tone, emotion, clout, confusion, etc. this would help teachers get an idea of students thinking during group work. ",4,5,How “active” a participant is,4,4,4,1,Visualization of ideas or questions,2,,2
5/4/2020 12:53,5/4/2020 13:14,0,216.80.117.12,100,1282,1,5/4/2020 13:14,R_ZmLOpWUzKvobPup,,,,,42.01069641,-87.66570282,anonymous,EN,2,1,2,2,,4,,"Good communication, distributed effort, productive results.................","bad communication, siloed effort, unproductive results................................",Seek intervention................................................................,Most of my formal training has been in Design thinking and Agile development,Find a group of like minded people you get along with (but not too well)..................,By practicing ........................................................................................................................,,0,0,189.541,0,Its a data focused lens into the collaboration............................................,4,2,,2,3,3,1,,1,,1
5/4/2020 12:47,5/4/2020 13:14,0,165.124.162.61,100,1613,1,5/4/2020 13:14,R_3LcGmM9e2w9aa9p,,,,,42.01069641,-87.66570282,anonymous,EN,3,1,5,3,,4,,"Productive, friendly, ontime, bright, fast paced, with a touch of ingenuity, and well managed. Oh and snacks","Feeling like I want to withdraw. A place that I don't feel welcome, and a time that I would have been better off doing it alone","Pull away, isolate myself from them. Tell someone in authority to try to right the situation, and end up getting annoyed.",Collaboration is a mandatory thing that people ask in school settings to get credit. Its mostly useless.,"Avoid it if you can, because someone is always free riding. If you have to, try to do all the work yourself.",I really really don't know. I really really don't know. I really really don't know.,,22.33,22.33,1072.343,1,"Seems to be about teaching chemistry and listening to what we say. That could be useful, or moot, not quite sure.",3,3,,2,3,1,1,Not sure. Something activity and interesting.,1,,1
5/4/2020 12:46,5/4/2020 13:50,0,142.196.131.148,100,3819,1,5/4/2020 13:50,R_R9bjwtY5KtzJgVX,,,,,28.55880737,-81.34950256,anonymous,EN,1,1,2,2,,4,,good collaboration is when everyone is listening to each other and building on each other's ideas. ,"people talking over one another, people not listening and only expressing their own individual ideas","try to get people to listen, ask them to let others speak, go around in a circle and let people express their ideas one by one so everyone gets heard","collaboration is important for innovation, collaboration is key to improving on things and coming up with the best ideas","communicate openly and clearly, make sure that you listen to others and understand before responding, be open to both criticism and compliments, try to make sure everyone gets a chance to speak","i think learning by doing is what works best for me, but having experienced educators facilitating collaboration would be nice, someone being there to make sure everyone is heard and gets a chance to speak, also sort of a conflict mediator",,0,0,197.571,0,it appears to capture conversations and creates transcripts from them. it then analyzes the transcripts and categorizes the sections of the conversation. ,4,3,,2,2,2,1,being able to see when questions were asked and how they were answered,2,,1
5/5/2020 15:43,5/5/2020 15:55,0,172.58.141.67,100,702,1,5/5/2020 15:55,R_ZmJ6rqoziSorFg5,,,,,39.79319763,-86.21320343,anonymous,EN,1,1,4,3,,4,,"Responsive and helpful, offers up their own ideas, excited to work, enthusiastic","Unresponsive and flaky, shows no interest in the work, often late, offers up nothing to the group","Don’t work with them in the future, rate them poorly when doing peer evaluations","I have been taught to not attack a person, but their idea, when in disagreement. Always let others speak and monitor your own airtime. ",Be open to times and places to meet that might be inconvenient. Don’t be afraid to share your ideas - everyone comes up with good and bad ones. ,I’d love to be taught critical collaboration skills as early as possible. Real projects to work on from a young age. ,It’s so so important!,4.1,9.501,294.656,3,"The platform captures audio data that analyzes a collaborative discussion. It logs a full transcript, keywords, and also uses AI to describe how the discussion went in terms of things like emotionality. ",4,4,"I would be concerned that the data was shared with the university or even with the professors, removing a lot of the freedom that is found while working in group projects. ",4,5,3,2,,2,,1
5/5/2020 15:44,5/5/2020 15:55,0,165.124.85.123,100,652,1,5/5/2020 15:55,R_2xK72H8KPIfeRtF,,,,,42.05499268,-87.69509888,anonymous,EN,1,1,3,2,,2,,All participants contributing equally or at least everyone doing their best work.,"Some people doing more than others, people ordering others around, not showing up on time or at all.","I usually just put up with it, but if it were really bad I would tell the professor.",Everyone needs to participate and do their best. Speak up if things are not going right,"Be patient with teammates and speak up if there's a problem, whether to your group directly or to a professor",I always think games are a great way to learn. Or doing a project together like cooking or a craft.,,2.866,146.899,147.213,10,This software is used to store and analyze sound recordings from classroom discussions. ,4,4,,4,4,4,2,,2,,1
5/5/2020 15:44,5/5/2020 15:55,0,98.222.133.177,100,715,1,5/5/2020 15:55,R_r3ce8N2HRiyB7IR,,,,,42.17599487,-87.80899811,anonymous,EN,1,1,2,2,,3,,"Good collaboration is mutually beneficial. Every individual involved in the collaboration has something unique to contribute, and the net result is that every person gains insights that they would not have had on their own through the collaboration.",Bad collaboration is either one-sided or toxic. A one-sided collaboration means that there are individuals collaborating who only receive and do not contribute. A toxic one could involve direct conflict or argument.,"Typically communication can be decent resolution; however, it is not always successful. I think I personally am conflict avoidant and can grind through bad collaboration without acknowledging it.","I think I've been taught that collaboration requires effort from everybody involved, and that everyone has a role in inviting others in or contributing vocally themselves.","Find people you want to collaborate with! It's not required, because I've had good experiences with strangers, but it's much more fun if you enjoy collaborating with a person regularly.","Especially now, I think virtual collaboration is something that doesn't quite get to the level of in-person collaboration, and I think I could learn to be better at it.",Collaboration is so huge and I think I underrate it constantly and try to do everything by myself.,0,0,171.241,0,The data capture platform is used for collecting and analyzing conversations. It breaks down an audio recording according to several categories and features about its contents.,3,3,,2,2,2,2,,1,"I think it's fine honestly, I don't mind too much.",1
