StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q3,Q48,Q48_1,Q48_2,Q48_3,Q48_4,Q49_1,Q49_2,Q49_3,Q49_4,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_5_TEXT,Q9,Q10,Q11,Q13,Q14,Q51,Q52,Q57,Q55,Q58,Q59,Q15,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19,Q20,Q21,Q22,Q24,Q46,Q25,Q26,Q27,Q28,Q29
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your current degree status,What is your current year in school?,Are you a student at Northwestern University?,"Choose an alias. Note: this survey is anonymous, but please choose an alias so that we can compare your pre and post data. Write your alias in the box below and also send yourself an email with your alias so that you can retrieve it later. You will need your alias when you complete the follow-up survey.",How often do you collaborate on school work in class settings with groups of the following sizes: - 2-3 persons,How often do you collaborate on school work in class settings with groups of the following sizes: - 4-6 persons,How often do you collaborate on school work in class settings with groups of the following sizes: - 7-10 persons,How often do you collaborate on school work in class settings with groups of the following sizes: - 10+ persons,How often do you collaborate on school work outside of class with groups of the following sizes: - 2-3 persons,How often do you collaborate on school work outside of class with groups of the following sizes: - 4-6 persons,How often do you collaborate on school work outside of class with groups of the following sizes: - 7-10 persons,How often do you collaborate on school work outside of class with groups of the following sizes: - 10+ persons,How often do your collaborations involve the following: - Computer programming,How often do your collaborations involve the following: - Discussion,How often do your collaborations involve the following: - Problem sets,How often do your collaborations involve the following: - Tools or mechanical machines,How often do your collaborations involve the following: - Other:,How often do your collaborations involve the following: - Other: - Text,How would you describe a good collaboration?,What are some characteristics of a bad collaboration?,How do you deal with poor collaboration experiences?,What are some things you have been taught about collaboration and collaborating?,What advice would you give a high school student about how to collaborate most effectively in college?,What kinds of information would be useful to you for evaluating an individual participant's contributions to a collaborative group?,What kinds of information would be useful to you for evaluating collaboration quality at a group level?,What kind of collaboration-quality information would you like to see in real-time?,How would you use this real-time information?,What kind of collaboration-quality information would you like to see after the collaboration?,How would you use this post-hoc information?,"In your ideal world, how would you want to learn how to collaborate?","If you have any other comments on collaboration, please provide them here.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.,I understand how this information might be useful for supporting learning.,I am concerned about how I could be represented by the data.,"If you have any comments about how this data might be used, please provide them here",I find that the device invades my privacy if used during classes.,I find that the device invades my privacy if used during out of class group discussions.,"Compared to a Google Home or Amazon Echo, this device seems more invasive or intrusive.",I'd rather not have a piece of technology actively recording me in class.,"I would prefer to have a device that offers more interactivity (i.e., answering questions, providing a visualization for the students).","If yes, what types of interactivity would improve your experience with these microphone-enabled devices?",I would be okay with having a camera also capturing video while I participate in group discussions.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID35""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_4_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID46""}","{""ImportId"":""QID33""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}"
2022-04-05 11:25:51,2022-04-05 11:33:28,IP Address,73.211.135.62,100,456,True,2022-04-05 11:33:28,R_BGsuiDtfSpfszwR,,,,,42.076999999999998181010596454143524169921875,-87.720900000000000318323145620524883270263671875,anonymous,EN,I am a Masters student,Third Year,"Yes, I am a Northwestern student",Hobie,,,,,,,,,,,,,,,All members of the group are contributing to the conversation to meet some common objective.,One member is the only one contributing and everyone else is slacking off. This can sometimes make the environment hostile.,I try to communicate the problems at hand and see if they can at all be resolved.,Make sure to make others feel heard and fully consider their ideas with as much weight as your own.,I'd tell them to pay more attention to time constrains because now everyone has vastly different schedules.,,,,,,,I am a big believer in learning by doing. I would be put on a team with some mentor and just work.,,46.635,66.318,74.339,2,It would monitor what we are saying to give real time statistics into our conversations. The primary benefit would be in retrieving a transcript of the conversation.,Agree,Neutral,,Neutral,Agree,Disagree,Neutral,No,,No
2022-04-05 12:20:00,2022-04-05 12:30:57,IP Address,165.124.85.29,100,657,True,2022-04-05 12:30:58,R_ApM8GmaqSahhY77,,,,,42.05499999999999971578290569595992565155029296875,-87.695099999999996498445398174226284027099609375,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",prototype red,,,,,,,,,,,,,,,Good collaboration involves meaningful contributions from all participating parties working together towards a common goal.,"Poor communication, uneven effort, hostility, and misaligned goals are bad collaboration characteristics.","Poor collaboration experiences require a significant amount of patience; sometimes, confrontation may be necessary.","In some previous classes, we have had rotating designated roles for collaboration in order to get a wide range of experiences and ensure everyone is participating.",I would advise a high school student to first decide how much effort they are willing to put into looking over others' work to ensure a grade.,,,,,,,"I would want to learn by practicing collaboration, but with certain meta goals in mind as we practice collaboration.","I don't have any particular comments on collaboration. Historically I have worked alone when given the option to do so, because I trust myself more.",69.41,69.41,119.759,1,"The data capture platform described in the video is used to analyze a collaborative conversation. It records the conversation transcript and provides data insights on the types of words, different speakers, etc.",Agree,Neutral,,Disagree,Disagree,Agree,Neutral,No,,Maybe
2022-04-06 09:56:52,2022-04-06 10:13:28,IP Address,65.79.133.141,100,995,True,2022-04-06 10:13:29,R_1rCxtQPuxNPiNl0,,,,,42.0106999999999999317878973670303821563720703125,-87.6657000000000010686562745831906795501708984375,anonymous,EN,I am a Masters student,First Year,"Yes, I am a Northwestern student",Sizzling,,,,,,,,,,,,,,,"Ability to discuss various points, different multimedia options available, varying tools for collaboration - note and text editor applications, task applications, calendar, spreadsheet and other design tools, enthusiasm and focus from both parties collaborating ","Inability to connect or collaborate, lack of tools or platforms to collaborate, lack of multimedia options for discussions, no participation","Communication, understanding, kindness and at times, frustration. There's always a solution but the system and willingness of parties involved are major factors ","Nothing much, actually. The only things I've learnt about collaboration were back in high school. In college, for team work, you are assigned into random groups, asked to introduce yourselves and work on tasks so you learn to collaborate by yourself. ","Be willing to put in hard work and effort, be open, clear and straightforward about your goals, what works you can shoulder and what you cannot, set boundaries but also remain flexible. Be patient, kind and understanding when you least feel like it, but also know how to communicate when things go south. Collaboration isn't about assigning tasks to people but about taking initiative whenever possible, and being there for your team. You are only as strong as your team.",,,,,,,"I'd love a class on collaboration because I love structure, but I have very strong views on the classes being conducted at universities today. They aren't what I'd hoped they would be, and very few classes are actually helpful or interesting. I am a very hard working student and score A's but that doesn't change the fact that our education system needs reform at the earliest. A broken education system has led thousands and thousands of students in India to suicide, depression, etc. People spend most of their life and shape their ambitions around a system that isn't designed to help them excel, learn or grow.",,2.941,33.481,66.292,8,"Collaborative learning and for supporting learning, really interesting and a tool I can definitely see myself using",Strongly agree,Disagree,,Disagree,Agree,Strongly disagree,Disagree,Yes,"Visualization, voice interactions ",Yes
2022-04-07 11:19:36,2022-04-07 15:21:31,IP Address,8.28.178.147,100,14514,True,2022-04-07 15:21:31,R_XuF9ngNLHK0tuTv,,,,,42.05499999999999971578290569595992565155029296875,-87.695099999999996498445398174226284027099609375,anonymous,EN,I am a PhD student/candidate,First Year,"Yes, I am a Northwestern student",Dub,,,,,,,,,,,,,,,"Equal participation or contribution, good communication,  and Weing actively present are all characteristics of a good collaboration.","One or two people do all the work, poor or sparse communication, lots of assumptions due to Minimal touchpoints.","Cry in my brain, then try to reach some agreement on how to make the collaboration work.",""" Teamwork makes the dream work."" 
""There's no 'I' in team.""
""We're all in this together.""","Don't be afraid to reach out to the instructor/ Supervising adult if issues come within the group dynamic that aren't being resolved. 
I had to think about this a little because I did not collaborate much for my class assignments during undergrad. I was a Humanities student, so I took a lot of classes that had solo work.",,,,,,,I'm not sure. I prefer to work alone even if I am not skilled in an area. I would definitely have to warm up to the collaboration activity first.,,0,0,350.475,0,The Blinc platform provides learning groups with a data analysis toolkit for collecting conversation. It uses a respeaker or computer to take input in the form of audio input and processing it. The platform determines trends or topics in the speech.,Agree,Neutral,,Neutral,Neutral,Disagree,Neutral,No,,Maybe
2022-04-05 10:01:51,2022-04-05 10:02:34,IP Address,165.124.85.43,16,43,False,2022-04-12 10:02:37,R_xneQiVtX0IZBwlP,,,,,,,anonymous,EN,I am a Masters student,Second Year,"Yes, I am a Northwestern student",Yun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05 09:59:26,2022-04-05 10:03:17,IP Address,165.124.85.132,38,230,False,2022-04-12 10:03:17,R_10BClJ7XamtOYZP,,,,,,,anonymous,EN,I am a Masters student,Fifth Year,"Yes, I am a Northwestern student",,,,,,,,,,,,,,,,"Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!
Productive one!","No progress and lack of engagement from few participants
No progress and lack of engagement from few participants
No progress and lack of engagement from few participants
No progress and lack of engagement from few participants
No progress and lack of engagement from few participants
No progress and lack of engagement from few participants
No progress and lack of engagement from few participantsNo progress and lack of engagement from few participants
No progress and lack of engagement from few participants","Ignore them, hope for a better one
Ignore them, hope for a better one
Ignore them, hope for a better one
Ignore them, hope for a better one
Ignore them, hope for a better one
Ignore them, hope for a better one
Ignore them, hope for a better one",,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05 11:57:32,2022-04-05 11:59:56,IP Address,165.124.85.100,25,144,False,2022-04-12 12:03:00,R_1OIfTAAOmwr7aWI,,,,,,,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05 12:10:50,2022-04-05 12:11:19,IP Address,165.124.85.108,9,28,False,2022-04-12 12:18:52,R_3nqLdcjnMETd1Rv,,,,,,,anonymous,EN,I am an undergraduate student,,,Panerabread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05 10:42:54,2022-04-05 12:32:16,IP Address,165.124.85.96,53,6562,False,2022-04-12 12:32:18,R_Rt2iLsAuTmR5Zm1,,,,,,,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",penguin06,,,,,,,,,,,,,,,"Communication, cooperation and accepting of all ideas are very important for good collaboration","Poor communication and not being open to everyones ideas are aspects of bad collaboration ","I usually try to make sure everyone feels included and clearly communicate my thoughts ",I have been taught to voice my thoughts and accept other people's thoughts and ideas,I would tell them to be considerate of everyone they are collaborating with.,,,,,,,I would want tot learn how to collaborate Through experiences and projects/groups,,,,,,,,,,,,,,,,
2022-04-08 13:51:59,2022-04-08 13:52:36,IP Address,165.124.85.15,25,37,False,2022-04-15 13:54:47,R_2qh243BfD86Kbyv,,,,,,,anonymous,EN,I am an undergraduate student,First Year,"Yes, I am a Northwestern student",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-20 20:41:31,2022-09-20 20:50:41,IP Address,165.124.85.82,100,550,True,2022-09-20 20:50:42,R_1gINAlRSXv0Xixz,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",Lucas,Once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,,"Effortless, efficient.                                                                   ","Hard to coordinate, arguing and disagreements.                                                                          ","Talk it out.                                                                 
                                                                                  ","It can contribute to learning and soft skills.
                                                                      ","Don’t overthink.                                                           
                                                                               ","Effort, attendance, listening.                                                                                       ","Effectiveness, timeliness, quality of work.                                                                       ","Progress.                                                      .                                                      ","Assess places of trouble and improvement. .                                                      ","Grade, time taken, team satisfaction. .                                                      .                                                      ","Assess chemistry and areas of improvement. .                                                 .                                                           ","Not forcefully. Some work is better done alone, some people do better work like that.                                                      ",,2.094,67.679,67.942,29,"No comment. .                                                     .                                                       .                                                      ",Neutral,Neutral,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,No
