ResponseId,Q19,Q51,Q52,Q57,Q55,Q58,Q59
R_BGsuiDtfSpfszwR,It would monitor what we are saying to give real time statistics into our conversations. The primary benefit would be in retrieving a transcript of the conversation.,,,,,,
R_ApM8GmaqSahhY77,"The data capture platform described in the video is used to analyze a collaborative conversation. It records the conversation transcript and provides data insights on the types of words, different speakers, etc.",,,,,,
R_1rCxtQPuxNPiNl0,"Collaborative learning and for supporting learning, really interesting and a tool I can definitely see myself using",,,,,,
R_XuF9ngNLHK0tuTv,The Blinc platform provides learning groups with a data analysis toolkit for collecting conversation. It uses a respeaker or computer to take input in the form of audio input and processing it. The platform determines trends or topics in the speech.,,,,,,
R_xneQiVtX0IZBwlP,,,,,,,
R_10BClJ7XamtOYZP,,,,,,,
R_1OIfTAAOmwr7aWI,,,,,,,
R_3nqLdcjnMETd1Rv,,,,,,,
R_Rt2iLsAuTmR5Zm1,,,,,,,
R_2qh243BfD86Kbyv,,,,,,,
R_1gINAlRSXv0Xixz,No comment. .                                                     .                                                       .                                                      ,"Effort, attendance, listening.                                                                                       ","Effectiveness, timeliness, quality of work.                                                                       ",Progress.                                                      .                                                      ,Assess places of trouble and improvement. .                                                      ,"Grade, time taken, team satisfaction. .                                                      .                                                      ",Assess chemistry and areas of improvement. .                                                 .                                                           
R_0pmjCebYI0HSB3P,"Let everyone show themselves publicly, and other students can understand others more directly to improve themselves",each person‚Äòs understand to the goal and what skills they already have,The quality of team member communication and understanding of task objectives,"Everyone's task progress and plan, as well as current problems and approximate completion time","I will record this information, it is a good reference material when encountering similar projects later","Practical takeaways from the project and help in other areas, and how to improve on completed assignments","I will summarize the gains and knowledge of the project, and summarize the problems that need to be paid attention to when working in a small group"
R_12PcLTnA7K58yrd,"It appears to give both live feedback on the nature of a discussion which is also recorded for future reference. This allows users to be evaluated for their contributions in a variety of categories which may more effectively inform users how to improve their group collaborations in the future (eg. dominating the conversation, lots of emotional verbiage, lack of novel or intellectual contributions, etc.)","How much of the project can they actually explain all the way down to the fundamentals why certain choices were made. Someone who just exists in a group can tell you what the outcome to a problem was, but only someone who was doing the work of solving the problem can tell you every intricate detail of what issues came up and how exactly it was solved. Details--this is the same for technical interviews.","Does the final product look like a collection of separate projects stitched together arbitrarily, or are all the components seamlessly integrated together. A smart group of people can all solve their own problems extremely well, but unless they're collaborating effectively as a group, their final product will look like just that--a collection of solutions instead of one unified solution. ","How effectively does everyone in the group understand their larger roles and responsibilities towards the final goal, and how are they accounting for that in their designs. ","Looking for gaps or disconnects. If two projects clearly don't understand or aren't aware of their interactions, that would be the role of the leader to step in and connect the two parties to ensure all interactions are properly understood and accounted for--this avoids disconnects at the end where an interface was not properly designed, if at all. ","This is the best time for feedback about how effectively someone was able to understand and act on the requirements and expectations of those around them. Someone isn't necessarily improve significantly during the time of collaboration, so feedback from fellow collaborators after the fact on pain points and/or how to improve would be valuable. ","Using this feedback from collaborators in retrospect to understand what could be improved over the course of a project or to know potential pain points that, while you might not know how to improve them, you can warn others about and attempt to avoid, can make future collaborations far more efficient and valuable. "
R_2CqwYvmt5fFc3fL,"Collecting data from group conversation and analyze the sentences from several aspects， like tones, emotions.","mainly three information : time spend on project,  project progress , willingness to communicate",whether everyone can do their strength thing. whether all members can be kept informed.,progress of the project is the collaboration-quality information would you like to see in real-time.,"I would use this real-time information to adjust my work pace, and picture the final result.............",everyone works hard and have their expected result is the  collaboration-quality information would you like to see after the collaboration,To sum up this experience and to be the experience of my next collaboration are the way I would like to use this post-hoc information.. 
